year_month,amazon_stock_price,amazon_stock_volume,apple_stock_price,apple_stock_volume,google_stock_price,google_stock_volume,meta_stock_price,meta_stock_volume,microsoft_stock_price,microsoft_stock_volume,bitcoin_price,bitcoin_volume,ethereum_price,ethereum_volume,gold_price,gold_volume,s&p500_price,s&p500_volume,gold_returns,bitcoin_returns,ethereum_returns,s&p500_returns,6_months_max,percent_change,crisis,gold_return,amazon_stock_return,covariance_conditionnelle,interaction_t_minus_1,interaction_dum_t_minus_1,h_t_minus_1,dum_crise,meta_stock_return,apple_stock_return,google_stock_return,microsoft_stock_return,bitcoin_return,ethereum_return
2004-10,37.85,208568400,45.425,287399400,164.425,513620700,177.585,623649587,28.155,1300591200,17705.37086743071,517572575203,1382.316098022461,354925375295,420.1499938964844,2646.0,1116.1700439453125,31511000000,0.03028446903678028,0.0,0.0,0.0007262207044422819,1129.8299560546875,-1.2090237151327412,0,2.9834947640748415,-7.554117749824098,0.0,0.0,0.0,0.0,0,0.0,21.246875445065882,34.0451559172535,3.2121130328556875,0.0,0.0
2004-11,37.825,168474900,60.80499999999999,311421500,181.455,554632100,177.585,623649587,27.53,1739407300,17705.37086743071,517572575203,1382.316098022461,354925375295,439.6999969482422,183608.0,1158.0299682617188,30460280000,0.04653100877248728,0.0,0.0,0.03750317843009343,1158.0299682617188,0.0,0,4.548089339898369,-0.06607202090381348,-0.0,0.0,0.0,0.0,0,0.0,29.160940815072788,9.855314989250658,-2.2448639552065885,0.0,0.0
2004-12,41.835,176014800,64.775,284796700,184.175,290392600,177.585,623649587,27.0595,1803777700,17705.37086743071,517572575203,1382.316098022461,354925375295,444.5500030517578,12728.0,1195.5549926757812,31102500000,0.011030261853939738,0.0,0.0,0.03240419111984649,1195.5549926757812,0.0,0,1.0969872185753613,10.076305007314234,-0.0,-0.0,-0.0,-0.0,0,0.0,6.324770401521104,1.4878703488956122,-1.7238174040086156,0.0,0.0
2005-01,42.85,194935200,70.245,459075800,190.795,409918400,177.585,623649587,26.37,1521414300,17705.37086743071,517572575203,1382.316098022461,354925375295,424.8500061035156,115342.0,1190.7750244140625,31498800000,-0.0443144681430776,0.0,0.0,-0.003998116599405188,1195.5549926757812,-0.39981165994051554,0,-4.532636161613868,2.397233529622681,-0.0,-0.0,-0.0,-0.0,0,0.0,8.106940485544113,3.531316065120612,-2.5811144749234467,0.0,0.0
2005-02,38.395,218655100,67.42,383016900,198.9,650567500,177.585,623649587,25.814799999999998,1361126000,17705.37086743071,517572575203,1382.316098022461,354925375295,423.0500030517578,8468.0,1196.6949462890625,29297410000,-0.004236796577376634,0.0,0.0,0.00497148642995171,1196.6949462890625,0.0,0,-0.4245797231619275,-10.977840226128183,-0.0,-0.0,-0.0,-0.0,0,0.0,-4.10474214977001,4.1602632639843105,-2.127902949725709,0.0,0.0
2005-03,34.66,119566600,41.97,524140000,181.21,343553000,177.585,623649587,24.805,1541411300,17705.37086743071,517572575203,1382.316098022461,354925375295,435.5500030517578,3171.0,1196.3999633789062,39014150000,0.029547334617252563,0.0,0.0,-0.000246497999403239,1196.6949462890625,-0.02464979994032637,0,2.911922468736253,-10.234095849504705,-0.0,-0.0,-0.0,-0.0,0,0.0,-47.39866324604152,-9.314560613586014,-3.9902725114926025,0.0,0.0
2005-04,32.97,162491300,39.225,691982800,202.29,452927500,177.585,623649587,24.695,1520253700,17705.37086743071,517572575203,1382.316098022461,354925375295,430.4500122070313,2579.0,1164.0150146484375,43424270000,-0.011709311925134913,0.0,0.0,-0.027068664093741868,1196.6949462890625,-2.730848972159956,0,-1.17784058088468,-4.998822720382022,-0.0,-0.0,-0.0,-0.0,0,0.0,-6.764077872640316,11.004573169053373,-0.44444517604240186,0.0,0.0
2005-05,34.07,116947800,37.025,459224800,249.305,507029100,177.585,623649587,25.2,1270563700,17705.37086743071,517572575203,1382.316098022461,354925375295,447.7590928511186,33451.09090909091,1172.8700561523438,39321990000,0.04021159287541676,0.0,0.0,0.0076073258441435865,1196.6949462890625,-1.9908908457079613,0,3.942414714708384,3.2819174589235534,0.0,-0.0,-0.0,-0.0,0,0.0,-5.772093846523387,20.89747350710302,2.0243200524789344,0.0,0.0
2005-06,34.96,106233600,38.14,404542700,288.34,777224400,177.585,623649587,25.41,1303029500,17705.37086743071,517572575203,1382.316098022461,354925375295,428.25,6950.0,1203.9450073242188,40334040000,-0.04357051182789817,0.0,0.0,0.026494794550231626,1203.9450073242188,0.0,0,-4.454821140558489,2.578731911445949,0.0,0.0,0.0,0.0,0,0.0,2.9670240018410587,14.546329289812709,0.8298802814695064,0.0,0.0
2005-07,39.3,182601100,40.335,360508800,302.395,409487200,177.585,623649587,25.490000000000002,1321407700,17705.37086743071,517572575203,1382.316098022461,354925375295,425.0500030517578,44574.0,1214.3500366210938,37464670000,-0.007472263743706242,0.0,0.0,0.008642445654557074,1214.3500366210938,0.0,0,-0.7500320961099537,11.70199680878807,0.0,0.0,0.0,0.0,0,0.0,5.595597821666472,4.75937703933912,0.31434210559514525,0.0,0.0
