year_month,amazon_stock_price,amazon_stock_volume,apple_stock_price,apple_stock_volume,google_stock_price,google_stock_volume,meta_stock_price,meta_stock_volume,microsoft_stock_price,microsoft_stock_volume
2000-01,74.97,262209000,104.0,112099800,,,,,106.745,637437600
2000-02,74.5,207457700,108.47,65355200,,,,,99.06,667243800
2000-03,67.625,156584600,132.19,77663900,,,,,101.97,1014093800
2000-04,54.72,162012500,122.185,77342900,,,,,80.75,1129073300
2000-05,51.41,130688600,104.0,87569200,,,,,67.19,672215400
2000-06,45.3,203140900,77.125,89106200,,,,,73.0,733525100
2000-07,35.91,198524600,53.755,102620900,,,,,75.06,617092900
2000-08,36.64,144464700,52.875,100644400,,,,,71.495,609699900
2000-09,42.565,133739700,44.745000000000005,259230900,,,,,65.345,712766900
2000-10,28.909999999999997,246733500,22.125,391174800,,,,,59.28,1234707800
2000-11,31.505000000000003,159338900,19.560000000000002,151578100,,,,,64.685,991731300
2000-12,21.255,202112900,15.565000000000001,158195900,,,,,50.47,1028334100
2001-01,17.97,210486800,18.47,244811800,,,,,53.815,1002765600
2001-02,13.564,167374100,19.97,125424400,,,,,59.47,768447800
2001-03,11.781500000000001,167635900,20.47,192840400,,,,,55.44,947674900
2001-04,13.129999999999999,189780400,22.935000000000002,199267700,,,,,61.08,1037903500
2001-05,15.350000000000001,144686700,23.0,133364900,,,,,69.7,888652900
2001-06,14.56,136695900,22.225,136397600,,,,,71.08000000000001,724588900
2001-07,14.245000000000001,172078700,21.535,154555400,,,,,68.67500000000001,727600500
2001-08,10.705,100687300,18.59,91595700,,,,,61.92,576948200
2001-09,7.43,126843400,16.88,98777200,,,,,53.29,755412200
2001-10,7.75,169882800,17.125,134718700,,,,,57.019999999999996,875445500
2001-11,9.5,310965300,19.4,95888300,,,,,63.97,665484300
2001-12,11.155000000000001,212455500,22.060000000000002,82675700,,,,,66.845,488544500
2002-01,12.399999999999999,322739200,22.495,152060300,,,,,65.975,680057900
2002-02,12.905000000000001,163988900,23.46,139954000,,,,,60.825,565579600
2002-03,15.255,164817800,23.560000000000002,94974700,,,,,61.655,536622100
2002-04,14.785,158958600,24.585,114693500,,,,,55.92,708739700
2002-05,18.075,154840500,24.060000000000002,106717100,,,,,52.394999999999996,710133100
2002-06,16.92,142617800,19.715,155500300,,,,,52.805,917036500
2002-07,14.71,176592200,16.295,144971700,,,,,48.17,1216094000
2002-08,14.385,115341600,15.11,91994400,,,,,48.625,857878600
2002-09,16.085,146027000,14.620000000000001,94497100,,,,,47.105000000000004,847852900
2002-10,18.135,203538600,14.9,118061300,,,,,48.629999999999995,1237685300
2002-11,21.35,206336300,16.195,80923600,,,,,55.269999999999996,777998600
2002-12,21.715,155610600,14.940000000000001,80900700,,,,,55.11,634185100
2003-01,20.92,169197200,14.47,107961300,,,,,52.175,859331100
2003-02,21.055,115941900,14.55,73469700,,,,,36.2,910628150
2003-03,24.7,164093600,14.6,71935800,,,,,24.675,1371902600
2003-04,26.66,219644300,13.835,138845400,,,,,25.189999999999998,1249617700
2003-05,32.120000000000005,190833800,16.5,193063300,,,,,25.195,1311003700
2003-06,35.035,171470800,18.16,109166700,,,,,25.055,1569995800
2003-07,38.55,229239500,20.04,93183400,,,,,26.6,1292011000
2003-08,42.615,150718900,21.135,76920800,,,,,26.189999999999998,966506900
2003-09,48.015,202836400,21.7345,95490800,,,,,28.235,1253309100
2003-10,54.33,288225300,22.6005,125717700,,,,,27.685000000000002,1400032500
2003-11,52.58,181979000,21.575000000000003,88823300,,,,,25.795,1442336700
2003-12,50.97,193675200,20.575,97390600,,,,,26.525,1476461300
2004-01,53.21,217934700,23.009999999999998,141567900,,,,,28.045,1232189000
2004-02,46.44,185747700,22.9,87893400,,,,,27.075000000000003,1032065600
2004-03,42.105000000000004,154770500,25.87,207609200,,,,,25.365000000000002,1703041000
2004-04,46.2,162636600,27.534999999999997,159467400,,,,,26.285,1558947800
2004-05,44.614999999999995,150196500,27.14,94719200,,,,,26.01,1141456900
2004-06,51.2,161251200,30.9,146914900,,,,,27.33,1534889700
2004-07,45.71,202437000,31.185000000000002,173153200,,,,,28.57,1550446900
2004-08,37.84,180022400,32.44,143060100,,,,,27.25,1094195300
2004-09,40.82,176176900,36.730000000000004,137026900,116.98,212494700.0,,,27.265,1141012300
2004-10,37.85,208568400,45.425,287399400,164.425,513620700.0,,,28.155,1300591200
2004-11,37.825,168474900,60.80499999999999,311421500,181.45499999999998,554632100.0,,,27.53,1739407300
2004-12,41.835,176014800,64.775,284796700,184.175,290392600.0,,,27.0595,1803777700
2005-01,42.849999999999994,194935200,70.245,459075800,190.79500000000002,409918400.0,,,26.37,1521414300
2005-02,38.395,218655100,67.42,383016900,198.9,650567500.0,,,25.814799999999998,1361126000
2005-03,34.66,119566600,41.97,524140000,181.20999999999998,343553000.0,,,24.805,1541411300
2005-04,32.97,162491300,39.225,691982800,202.29000000000002,452927500.0,,,24.695,1520253700
2005-05,34.07,116947800,37.025,459224800,249.305,507029100.0,,,25.2,1270563700
2005-06,34.96,106233600,38.14,404542700,288.34000000000003,777224400.0,,,25.41,1303029500
2005-07,39.3,182601100,40.335,360508800,302.395,409487200.0,,,25.490000000000002,1321407700
2005-08,44.44,114751100,45.175,335743100,286.535,285656800.0,,,26.85,1441979300
2005-09,43.17,104700400,50.325,440991800,302.975,339965100.0,,,26.255000000000003,1348861500
2005-10,42.86,146980100,52.925,665837400,332.7175,385538000.0,,,25.025,1439659900
2005-11,44.54,216455300,63.97,480586700,400.125,422908000.0,,,26.93,1444948300
